,name,position,nation,age,club,league,mins_played,ninety_mins_played,goals_scored,penalty_goals,non_pen_exp_goals,exp_goals,assists,exp_assists,total_shots,shots_on_target,goals_per_shot,goals_per_sot,shot_on_target_perc,avg_shot_distance,key_passes,shot_creation_per_90,goal_creation_per_90,pass_completion_perc,progressive_carries,total_carries,total_touches,touches_in_attacking_third,touches_in_pen,progressive_runs,times_dispossessed,passes_received,aerial_duels_won,aerial_duels_lost,aerial_duel_win_perc,tackles,tackles_and_interceptions,goals_per_ninety,exp_goals_per_ninety,goals_minus_exp_goals
334,Mikel Merino,"MF,FW",es ESP,28.0,Arsenal,eng Premier League,1586,17.6,7,0,5.9,5.9,2,2.0,38,13,0.18421052631578946,0.5384615384615384,34.21052631578947,10.7,17,2.44,0.23,78.2,11,388,783,13,79,94,27,504,59,16,78.66666666666666,46,61,0.3977272727272727,0.3352272727272727,1.0999999999999996
335,Mikel Oyarzabal,FW,es ESP,28.0,Real Sociedad,es La Liga,2250,25.0,9,4,6.8,9.9,3,2.4,39,13,0.23076923076923078,0.6923076923076923,33.33333333333333,13.4,15,1.52,0.2,73.5,31,393,729,6,107,133,30,532,32,13,71.11111111111111,25,29,0.36,0.396,-0.9000000000000004
340,Mohamed Amoura,FW,dz ALG,25.0,Wolfsburg,de Bundesliga,2467,27.4,10,2,7.2,8.7,9,4.0,73,25,0.136986301369863,0.4,34.24657534246575,16.8,35,2.92,0.47,70.3,81,628,1106,10,127,244,18,733,19,23,45.23809523809524,29,38,0.36496350364963503,0.3175182481751825,1.3000000000000007
341,Mohamed Salah,FW,eg EGY,32.0,Liverpool,eng Premier League,3371,37.5,29,9,18.2,25.2,18,14.2,121,50,0.2396694214876033,0.58,41.32231404958678,14.5,88,4.51,0.72,70.6,154,1149,1695,9,356,488,67,1407,9,9,50.0,21,30,0.7733333333333333,0.6719999999999999,3.8000000000000007
343,Moise Kean,FW,it ITA,25.0,Fiorentina,it Serie A,2704,30.0,19,1,17.8,19.4,3,1.9,103,49,0.18446601941747573,0.3877551020408163,47.57281553398058,15.0,19,1.9,0.23,69.9,42,454,700,4,132,143,53,541,51,1,98.07692307692307,7,13,0.6333333333333333,0.6466666666666666,-0.3999999999999986
344,Morgan Guilavogui,"FW,MF",gn GUI,27.0,St. Pauli,de Bundesliga,1807,20.1,6,0,7.1,7.1,2,1.8999999999999997,41,15,0.14634146341463414,0.4,36.58536585365854,13.6,27,2.59,0.2,65.9,42,384,832,5,103,135,24,565,66,17,79.51807228915662,32,45,0.29850746268656714,0.3532338308457711,-1.0999999999999996
345,Morgan Rogers,"FW,MF",eng ENG,22.0,Aston Villa,eng Premier League,3114,34.6,8,0,6.6,6.6,10,7.8,55,20,0.14545454545454545,0.4,36.36363636363637,15.9,51,3.04,0.46,73.2,114,794,1362,13,142,188,74,956,13,23,36.11111111111111,43,49,0.23121387283236994,0.1907514450867052,1.4000000000000004
348,Moses Simon,"FW,MF",ng NGA,29.0,Nantes,fr Ligue 1,2609,29.0,8,4,2.7,5.8,10,6.7,40,13,0.2,0.6153846153846154,32.5,19.6,56,3.73,0.52,62.0,147,731,1131,9,129,222,55,778,10,15,40.0,20,32,0.27586206896551724,0.19999999999999998,2.2
351,Myron Boadu,FW,nl NED,24.0,Bochum,de Bundesliga,1042,11.6,9,1,6.9,7.699999999999999,1,1.1,27,13,0.3333333333333333,0.6923076923076923,48.148148148148145,11.7,11,2.59,0.26,71.3,12,179,287,2,46,70,15,209,19,4,82.6086956521739,2,3,0.7758620689655172,0.6637931034482758,1.3000000000000007
354,Nick Woltemade,"FW,MF",de GER,23.0,Stuttgart,de Bundesliga,1622,18.0,12,2,8.0,10.2,2,4.6,46,23,0.2608695652173913,0.5217391304347826,50.0,12.3,37,4.38,0.55,70.6,31,470,788,4,159,141,50,623,47,4,92.15686274509804,10,11,0.6666666666666666,0.5666666666666667,1.8000000000000007
