,name,position,nation,age,club,league,mins_played,ninety_mins_played,goals_scored,penalty_goals,non_pen_exp_goals,exp_goals,assists,exp_assists,total_shots,shots_on_target,goals_per_shot,goals_per_sot,shot_on_target_perc,avg_shot_distance,key_passes,shot_creation_per_90,goal_creation_per_90,pass_completion_perc,progressive_carries,total_carries,total_touches,touches_in_attacking_third,touches_in_pen,progressive_runs,times_dispossessed,passes_received,aerial_duels_won,aerial_duels_lost,aerial_duel_win_perc,tackles,tackles_and_interceptions
248,Dwight McNeil,"MF,FW",eng ENG,25.0,Everton,eng Premier League,1371,15.2,4,0,1.0999999999999999,1.0999999999999999,6,5.199999999999999,25,10,0.16,0.4,40.0,21.9,37,4.73,0.66,74.5,38,443,748,2,25,80,33,510,3,12,15.0,13,19
249,Désiré Doué,"FW,MF",fr FRA,19.0,Paris S-G,fr Ligue 1,1730,19.2,6,0,5.1,5.1,6,7.8,55,20,0.11,0.3,36.4,17.9,55,5.66,1.25,82.3,97,899,1461,14,123,232,37,1164,8,27,44.4,48,61
250,Eberechi Eze,"MF,FW",eng ENG,26.0,Crystal Palace,eng Premier League,2588,28.8,8,1,8.9,10.4,8,6.2,100,27,0.07,0.26,27.0,21.6,58,4.69,0.35,74.2,68,840,1415,9,95,153,45,907,7,19,15.900000000000002,39,50
251,Eddie Nketiah,"FW,MF",eng ENG,25.0,Crystal Palace,eng Premier League,1034,11.5,3,0,5.7,5.7,1,1.7,43,16,0.07,0.19,37.2,13.799999999999999,13,2.69,0.26,74.6,41,246,412,4,67,78,17,294,21,6,35.6,15,18
254,Edon Zhegrova,"FW,MF",xk KVX,26.0,Lille,fr Ligue 1,978,10.9,4,0,2.3,2.3,1,2.2,23,9,0.17,0.44,39.1,22.2,16,3.4999999999999996,0.28,76.0,37,360,524,2,35,81,29,396,3,5,60.0,5,9
256,Eldor Shomurodov,"FW,MF",uz UZB,29.0,Roma,it Serie A,1097,12.2,4,0,4.7,4.7,4,1.3,29,13,0.14,0.31,44.8,11.9,17,2.62,0.57,75.2,19,246,446,5,52,62,19,333,26,3,40.6,14,17
257,Elias Saad,"FW,MF",tn TUN,25.0,St. Pauli,de Bundesliga,900,10.0,3,0,2.8,2.8,2,0.8,26,8,0.12000000000000001,0.38,30.800000000000004,17.6,14,3.5,0.4,76.2,29,301,427,5,44,76,36,319,8,10,26.7,20,23
258,Eliesse Ben Seghir,"MF,FW",ma MAR,20.0,Monaco,fr Ligue 1,1750,19.4,6,2,4.1,5.5,3,5.2,58,19,0.07,0.21,32.8,20.9,33,3.9600000000000004,0.36,79.3,85,843,1244,7,63,170,35,988,13,14,37.1,31,44
259,Elif Elmas,"FW,MF",mk MKD,25.0,Torino,it Serie A,1021,11.3,4,0,1.4,1.4,0,0.4,19,9,0.21,0.44,47.4,19.3,9,2.56,0.26,80.40000000000002,42,303,444,2,38,58,10,324,2,6,40.0,10,16
262,Emanuel Emegha,FW,nl NED,22.0,Strasbourg,fr Ligue 1,2293,25.5,14,0,17.0,17.0,3,2.4,61,35,0.23,0.4,57.4,12.5,18,1.26,0.16,80.3,37,341,577,3,99,104,30,423,26,4,40.0,6,7
265,Emmanuel Gyasi,"DF,FW",gh GHA,31.0,Empoli,it Serie A,3217,35.7,2,0,3.9000000000000004,3.9000000000000004,1,0.7,22,8,0.09,0.25,36.4,11.4,17,1.12,0.14,77.1,22,570,1390,6,51,108,24,676,43,14,38.7,52,63
271,Enzo Millot,"MF,FW",fr FRA,22.0,Stuttgart,de Bundesliga,1843,20.5,6,0,6.699999999999999,7.599999999999999,5,3.1,43,17,0.14,0.35,39.5,16.6,23,3.22,0.49,84.8,44,848,1397,5,75,123,36,1067,8,23,29.6,30,43
273,Eren Dinkçi,"MF,FW",de GER,23.0,Freiburg,de Bundesliga,1196,13.3,0,0,1.1,1.1,3,2.2,14,3,0.0,0.0,21.4,19.0,23,3.23,0.38,75.4,33,269,552,5,36,71,12,347,6,16,30.0,21,28
276,Erling Haaland,FW,no NOR,24.0,Manchester City,eng Premier League,2736,30.4,22,3,18.8,22.0,3,2.9999999999999996,104,55,0.18,0.35,52.89999999999999,12.3,29,2.34,0.3,66.9,24,310,639,5,190,124,27,478,57,5,53.3,11,16
277,Ermedin Demirović,FW,ba BIH,27.0,Stuttgart,de Bundesliga,1855,20.6,15,0,12.4,14.100000000000001,1,1.9,64,27,0.23,0.56,42.2,11.3,18,2.28,0.34,70.3,20,305,582,5,126,115,27,437,34,9,42.0,12,15
278,Ernest Nuamah,"FW,MF",gh GHA,21.0,Lyon,fr Ligue 1,1052,11.7,3,0,2.2,2.2,1,1.4999999999999998,28,13,0.11,0.23,46.4,17.3,18,2.9899999999999998,0.17,79.9,44,388,597,2,51,131,22,431,13,15,48.1,21,29
280,Esteban Lepaul,FW,fr FRA,25.0,Angers,fr Ligue 1,1629,18.1,9,0,5.1,5.1,0,0.8,41,17,0.22,0.53,41.5,13.199999999999998,7,1.22,0.06,67.1,26,246,504,3,60,68,13,348,35,12,42.7,11,15
285,Evanilson,FW,br BRA,25.0,Bournemouth,eng Premier League,2319,25.8,10,0,11.700000000000001,12.5,1,1.8999999999999997,72,31,0.14,0.32,43.1,12.8,26,2.37,0.31,71.3,29,333,558,5,127,99,24,400,42,4,40.4,16,17
286,Evann Guessand,"FW,MF",ci CIV,23.0,Nice,fr Ligue 1,2565,28.5,12,0,9.2,9.2,8,5.4,63,27,0.19,0.44,42.9,12.7,32,3.1899999999999995,0.6,73.3,87,581,926,17,134,162,71,687,26,8,41.9,44,59
291,Fabio Miretti,"MF,FW",it ITA,21.0,Genoa,it Serie A,1677,18.6,3,0,3.1,3.1,3,2.0,24,6,0.13,0.5,25.0,17.4,22,2.84,0.32,74.4,33,461,847,8,56,100,36,549,11,15,32.4,28,35
292,Facundo Buonanotte,"FW,MF",ar ARG,20.0,Leicester City,eng Premier League,1523,16.9,5,0,3.9,3.9,2,3.1,36,12,0.14,0.42,33.3,17.6,24,3.01,0.3,76.4,39,479,874,14,39,74,39,528,18,46,33.3,53,65
293,Fares Chaïbi,"MF,FW",dz ALG,22.0,Eint Frankfurt,de Bundesliga,1013,11.3,1,0,2.6,2.6,3,2.9,25,6,0.04,0.17,24.0,18.4,24,4.43,0.62,65.8,20,288,588,4,34,73,7,361,16,13,43.2,13,23
294,Farid El Melali,FW,dz ALG,28.0,Angers,fr Ligue 1,1893,21.0,2,0,3.6000000000000005,3.6000000000000005,3,3.1000000000000005,46,14,0.04,0.14,30.4,21.9,25,3.18,0.52,69.9,62,472,842,7,70,113,40,517,6,22,22.2,28,44
299,Federico Dimarco,"DF,FW",it ITA,27.0,Inter,it Serie A,2177,24.2,4,0,3.3000000000000003,3.3000000000000003,7,6.099999999999999,56,21,0.07,0.19,37.5,20.1,48,4.0,0.58,76.3,47,789,1475,3,90,232,10,1007,7,9,35.0,25,39
